Site,site_lat,site_long,district,district_long,district_lat,year,count
Lafoole,3.38148,45.49184,Quracdhimbil,,,2015,2
Lafoole,3.38148,45.49184,Macaani,,,2015,3
Lafoole,3.38148,45.49184,Alnasri,,,2015,5
Lafoole,3.38148,45.49184,Yasraale,,,2015,1
Lafoole,3.38148,45.49184,Afgooye,45.1167,2.1426,2015,1
Lafoole,3.38148,45.49184,Jambaluul,,,2015,1
Lafoole,3.38148,45.49184,Xalane,46.79135,4.8297,2015,3
Lafoole,3.38148,45.49184,Wardhiigleey,45.33,2.054921387,2014,1186
Waberi,2.0310756,45.324,Waaberi,45.3217067,2.0310756,2012,3
Waberi,2.0310756,45.324,Waaberi,45.3217067,2.0310756,2013,973
Waberi,2.0310756,45.324,Xamar JaabJab,45.33,2.027641272,2013,22
Waberi,2.0310756,45.324,Xamar Weyne,45.34,2.03373112,2013,5
Waberi,2.0310756,45.324,Madino,42.60051,0.82171,2013,1
Waberi,2.0310756,45.324,Baydhaba,43.6519,3.1141,2013,1
Waberi,2.0310756,45.324,Shabelle Hoose,44.34197,1.79194,2013,1
Waberi,2.0310756,45.324,Mudug,48.23885,6.30213,2013,1
Wardhigley,2.052,45.332,Hawl Wadaag,45.32,2.048030929,2013,116
Wardhigley,2.052,45.332,Wardhiigleey,45.33,2.054921387,2012,1
Wardhigley,2.052,45.332,Wardhiigleey,45.33,2.054921387,2013,3777
Wardhigley,2.052,45.332,Wardhiigleey,45.33,2.054921387,2014,4636
Wardhigley,2.052,45.332,Hodan,45.3,2.043926495,2013,19
Wardhigley,2.052,45.332,Towfiiq,48.87528,6.61722,2013,4
Wardhigley,2.052,45.332,Jowhar,45.5016,2.7774,2013,3
Wardhigley,2.052,45.332,Karaan,45.39,2.065160176,2013,2
Wardhigley,2.052,45.332,Shabelle Dhexe,46.10327,2.96066,2013,1
Wardhigley,2.052,45.332,Boondheere,45.34,2.045550458,2013,1
Wardhigley,2.052,45.332,Tarbunka,,,2013,3
